timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-06-05T15:33:17,bluerevCope,5be7d60a-0c4f-4e7b-8128-284e24b8b701,3.2827253341674805,1.5357464608493476e-06,4.678266697688317e-07,14.0,0.0,5.882906913757324,1.2762257125642566e-05,0,5.331104728872068e-06,1.8093361854514632e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:33:17,bluerevCope,5be7d60a-0c4f-4e7b-8128-284e24b8b701,3.912275314331055,1.8282984611731631e-06,4.6732356858320363e-07,14.0,0.0,5.882906913757324,1.5208562744988337e-05,0,6.331493819923632e-06,2.154005656491197e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:33:23,bluerevCope,843cfe99-1d5d-406f-b60f-aaf9d909bd9c,2.2533392906188965,1.0534656428168498e-06,4.675131025330445e-07,14.0,0.0,5.882906913757324,8.75909752315945e-06,0,3.652283888224399e-06,1.2411381411383847e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:33:24,bluerevCope,843cfe99-1d5d-406f-b60f-aaf9d909bd9c,3.019409418106079,1.409956926092745e-06,4.6696447246863894e-07,14.0,0.0,5.882906913757324,1.1734376086129082e-05,0,4.876999237481528e-06,1.661137532361061e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:18,bluerevCope,01c6ddb0-8673-4d83-9629-f7e51f80b79d,3.3041131496429443,1.5461881618138003e-06,4.679585994144564e-07,14.0,0.0,5.882906913757324,1.2847089767456054e-05,0,5.369290748499604e-06,1.821638051595566e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:19,bluerevCope,01c6ddb0-8673-4d83-9629-f7e51f80b79d,4.061934947967529,1.898579049902485e-06,4.67407546950617e-07,14.0,0.0,5.882906913757324,1.5789168675740558e-05,0,6.578897040190176e-06,2.236806571593073e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:26,bluerevCope,d4d6d234-9162-4ff0-9ff4-55b0d7b0f064,2.580294370651245,1.206394006712591e-06,4.675412311224425e-07,14.0,0.0,5.882906913757324,1.0029700332217748e-05,0,4.18340310576563e-06,1.4213103437983376e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:27,bluerevCope,d4d6d234-9162-4ff0-9ff4-55b0d7b0f064,3.217522144317627,1.5021575112484957e-06,4.668678081676648e-07,14.0,0.0,5.882906913757324,1.2501446008682251e-05,0,5.19618840322759e-06,1.769763441190984e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:41,bluerevCope,42fe0dc8-bff3-461f-a45c-535f83f7c54d,2.772599220275879,1.296433913421005e-06,4.6758792397409954e-07,14.0,0.0,5.882906913757324,1.077843983968099e-05,0,4.49546670282075e-06,1.527390654250174e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:42,bluerevCope,42fe0dc8-bff3-461f-a45c-535f83f7c54d,4.047091484069824,1.8788301537129768e-06,4.64242076342587e-07,14.0,0.0,5.882906913757324,1.568389164076911e-05,0,6.451502905738001e-06,2.213539454650711e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:56,bluerevCope,1a9a1473-7045-4b15-bbc8-42f031e29f74,2.4815561771392822,1.1602700335071571e-06,4.675574319839526e-07,14.0,0.0,5.882906913757324,9.646343390146893e-06,0,4.023351510914115e-06,1.3669694901061007e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:34:56,bluerevCope,1a9a1473-7045-4b15-bbc8-42f031e29f74,3.039916515350342,1.4192811625954652e-06,4.668816250145926e-07,14.0,0.0,5.882906913757324,1.1813341511620416e-05,0,4.907887091396409e-06,1.6721228603016824e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:15,bluerevCope,e29b9d2b-a1d9-4e61-8e08-3aa57c6e849b,3.086113214492798,1.4408351287054723e-06,4.668769512210761e-07,14.0,0.0,5.882906913757324,1.1975400182935929e-05,0,4.999765979547988e-06,1.6975166162483915e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
